,ID3ROG3,Latitude,Longitude
704,19986BG,24.05076947,90.11762668
705,19987BG,24.11828245,90.849617
706,17966BG,23.21457496,91.98845927
707,16541BG,24.287839,89.909928
708,11029BG,21.44058468,92.17228402
709,16564BG,25.11689327,89.05288986
710,11291BG,21.742389,92.380151
711,11293BG,22.86659967,92.32805677
712,16561BG,24.32986671,90.7707302
713,16577BG,25.12715528,88.7895242
714,16583BG,24.97525153,91.39296986
715,16552BG,25.099077,91.752626
716,16961BG,22.587671,92.371825
717,19069BG,22.80986595,89.89682283
718,16659BG,24.612936,90.554495
719,16663BG,25.541332,89.067688
720,17513BG,23.2283617,89.31718253
721,19007BG,24.33858223,90.77813483
722,16696BG,25.83093,88.848867
723,16709BG,22.9901271,91.26942899
724,17519BG,25.09359019,89.25608638
725,17520BG,25.08064475,92.12061036
726,16727BG,25.68377163,89.4713531
727,17522BG,23.343493,92.140089
728,16734BG,22.73888051,92.00223569
729,16751BG,24.637957,90.669857
730,16742BG,25.617523,89.354422
731,17523BG,22.54708,90.00991
732,21477BG,24.38962,89.59
733,16762BG,24.01978462,90.83969522
734,16768BG,24.3963775,90.5759935
735,16775BG,22.90111783,90.03168724
736,20445BG,24.894341,91.914764
737,16867BG,25.046612,91.931058
738,11826BG,25.14645234,90.52943453
739,16823BG,22.908897,91.948026
740,16824BG,22.69635589,92.41665044
741,16829BG,22.74746481,92.02066137
742,16855BG,25.05177751,91.58482031
743,16857BG,24.885755,90.350134
744,16860BG,24.99387849,91.67707655
745,16862BG,22.77869694,91.97863252
746,15366BG,25.74415672,89.00373657
747,12027BG,25.691577,88.694127
748,19655BG,23.129217,92.075952
749,12036BG,25.738656,89.588207
750,16900BG,23.38857498,92.0102067
751,16905BG,25.85477828,89.42418055
752,21140BG,23.80672302,90.29871237
753,12051BG,24.04861494,90.68623833
754,22341BG,22.42877,89.45979
755,16944BG,25.82297856,88.5664138
756,16981BG,22.64666661,89.77362172
757,16979BG,23.97520691,91.18546053
758,17570BG,24.8582638,90.6373749
759,17571BG,22.85574153,89.85957015
760,18777BG,24.02382044,90.79440586
761,21479BG,22.42877,89.459
762,17007BG,24.539159,89.924201
763,17019BG,22.67856812,92.09789268
764,17573BG,22.65924619,89.78237474
765,22099BG,24.38962,89.5927
