,ID3ROG3,Language,BibleStatus,Speakers,masonpop,masonresid,masonscore,Latitude,Longitude
233,16092CH,Zauzou,1,3853,1.000159995,0.000159995,7.97E-05,26.47917,98.85246
234,16151CH,Phola,1,14505,1.000603468,0.000603468,0.000302614,23.46537,102.22179
235,18385CH,Ache,1,44683,1.001859864,0.001859864,0.000934126,24.68311,101.97421
236,18397CH,Biao-Jiao Mien,1,99952,1.004160869,0.004160869,0.002090697,25.53983577,111.3534393
237,18403CH,Awu,1,37386,1.001556069,0.001556069,0.000781427,26.80667407,100.9946104
238,18404CH,Awu,1,37386,1.001556069,0.001556069,0.000781427,24.34308,103.40744
239,18407CH,Azhe,1,65522,1.002727451,0.002727451,0.001370207,24.15562,103.43611
240,18415CH,Biao-Jiao Mien,1,99952,1.004160869,0.004160869,0.002090697,25.5325264,111.3495362
241,18417CH,Bokha,1,12510,1.000520411,0.000520411,0.000260866,23.18815,103.65782
242,18418CH,"Qiang, Southern",1,143932,1.005991882,0.005991882,0.003011032,32.89118182,102.8143806
243,18419CH,Bonan,1,19888,1.000827578,0.000827578,0.00041526,35.70049859,102.9214875
244,18420CH,Bonan,1,19888,1.000827578,0.000827578,0.00041526,35.09358872,101.8959188
245,18422CH,Biyo,1,174023,1.007244656,0.007244656,0.003640723,22.51338218,101.657333
246,18450CH,Enu,1,27029,1.001124878,0.001124878,0.000564694,23.00742,101.77141
247,18455CH,Foma,1,25166,1.001047316,0.001047316,0.000525709,19.40834879,108.8437491
248,18465CH,"Miao, Eastern Xiangxi",1,138252,1.005755407,0.005755407,0.002892171,28.51339,109.59157
249,18483CH,Waxianghua,1,377613,1.015720686,0.015720686,0.007901093,28.67315,110.3665
250,18498CH,"Miao, Eastern Qiandong",1,603855,1.025139783,0.025139783,0.012635483,26.57068,108.99686
251,18508CH,Lavrung,1,15261,1.000634942,0.000634942,0.000318434,31.56552,101.9276
252,18509CH,sTodsde,1,5296,1.000220071,0.000220071,0.000109905,31.98446,101.01553
253,18510CH,Lavrung,1,15261,1.000634942,0.000634942,0.000318434,31.56552,101.9276
254,18514CH,"Jinuo, Youle",1,23688,1.000985782,0.000985782,0.00049478,22.04093,101.05647
255,18515CH,"Jinuo, Buyuan",1,1667,1.000068986,6.90E-05,3.40E-05,22.04987,101.01648
256,18516CH,Kaduo,1,205987,1.008575408,0.008575408,0.004309609,24.49692,97.74512
257,18519CH,Kemiehua,1,1689,1.000069902,6.99E-05,3.44E-05,22.01638,100.79952
258,18525CH,"Bunu, Jiongnai",1,2472,1.0001025,0.0001025,5.08E-05,23.87256,110.01522
259,18526CH,Kon Keu,1,10151,1.000422199,0.000422199,0.000211501,21.60538532,100.2861822
260,18528CH,Kucong,1,52698,1.002193551,0.002193551,0.001101849,22.0645,100.09313
261,18536CH,"Lalu, Western",1,49456,1.002058577,0.002058577,0.001034006,24.70491,98.90708
262,18542CH,Lachi,1,18021,1.000749849,0.000749849,0.000376191,22.9305,104.68886
263,18543CH,Awa,1,108756,1.004527405,0.004527405,0.002274931,21.50827,100.57753
264,18551CH,Jiamao,1,95467,1.003974146,0.003974146,0.001996843,18.59128,109.85817
265,18554CH,Limi,1,38531,1.001603739,0.001603739,0.000805388,24.26896,99.8148
266,18565CH,Lopi,1,5689,1.000236433,0.000236433,0.000118129,25.08332,97.08332
267,18568CH,Nisi,1,47735,1.001986927,0.001986927,0.000997992,22.93063,104.55881
268,18569CH,"Lolopo, Southern",1,255344,1.01063028,0.01063028,0.005342465,23.86354,100.77029
269,18580CH,"Miao, Northern Guiyang",1,156431,1.006512251,0.006512251,0.003272589,26.72852316,106.6918391
270,18581CH,"Miao, Southern Guiyang",1,54346,1.002262162,0.002262162,0.001136336,26.39116401,106.4886558
271,18582CH,"Miao, Southern Guiyang",1,54346,1.002262162,0.002262162,0.001136336,26.39074197,106.4818332
272,18583CH,"Miao, Southwestern Guiyang",1,121923,1.005075585,0.005075585,0.002550467,26.19347,106.00453
273,18584CH,"Miao, Central Huishui",1,69010,1.002872666,0.002872666,0.001443198,26.05253,106.71374
274,18585CH,"Miao, Eastern Huishui",1,24157,1.001005308,0.001005308,0.000504594,25.99717,106.82865
275,18586CH,"Miao, Northern Huishui",1,121923,1.005075585,0.005075585,0.002550467,26.34653,107.11959
276,18589CH,"Miao, Central Mashan",1,123075,1.005123546,0.005123546,0.002574574,25.6005,106.37882
277,18590CH,"Miao, Northern Mashan",1,60962,1.002537605,0.002537605,0.001274784,25.75423,106.5459
